PO_ID,VENDOR_ID,MATERIAL_ID,QUANTITY,UNIT_PRICE,ORDER_DATE,DELIVERY_DATE,STATUS
PO-9001,V10033,M-3007,8252,397.9,2023-03-28,2023-04-21,CLOSED
PO-9002,V10022,M-3020,2030,410.12,2023-05-01,2023-06-23,CLOSED
PO-9003,V10002,M-3005,1257,126.2,2023-09-01,2023-09-24,CLOSED
PO-9004,V10013,M-3019,6791,249.72,2023-05-05,2023-06-06,OPEN
PO-9005,V10050,M-2001,267,1484.79,2023-12-23,2024-03-12,CLOSED
PO-9006,V10047,M-3008,2488,230.95,2023-08-26,2023-11-15,CLOSED
PO-9007,V10040,M-2004,467,3736.73,2023-09-16,2023-11-23,CLOSED
PO-9008,V10029,M-2004,182,3883.0,2023-11-23,2024-01-11,CLOSED
PO-9009,V10030,M-3009,1769,358.2,2023-05-01,2023-06-18,CLOSED
PO-9010,V10006,M-3018,2767,79.66,2023-07-16,2023-08-18,CLOSED
PO-9011,V10022,M-3014,9390,235.63,2023-02-01,2023-03-13,CLOSED
PO-9012,V10045,M-3019,820,429.08,2023-10-22,2023-12-23,CLOSED
PO-9013,V10020,M-3012,6889,427.46,2023-08-03,2023-10-24,CLOSED
PO-9014,V10027,M-3009,8456,19.37,2023-06-22,2023-08-26,CLOSED
PO-9015,V10040,M-3005,9251,18.35,2023-07-21,2023-10-18,OPEN
PO-9016,V10010,M-3014,8064,94.96,2023-05-14,2023-07-15,CLOSED
PO-9017,V10022,M-3011,6711,142.74,2023-08-04,2023-09-19,OPEN
PO-9018,V10004,M-3018,6233,115.99,2023-02-05,2023-02-24,OPEN
PO-9019,V10002,M-2002,368,1185.72,2023-03-06,2023-05-19,OPEN
PO-9020,V10030,M-3007,4698,384.61,2023-03-27,2023-04-24,CLOSED
PO-9021,V10038,M-2001,63,4679.99,2023-10-22,2023-12-23,CLOSED
PO-9022,V10005,M-2002,353,3607.76,2023-11-18,2024-01-02,OPEN
PO-9023,V10044,M-3010,2483,399.13,2023-10-17,2023-11-05,CLOSED
PO-9024,V10005,M-3012,8789,325.53,2023-01-07,2023-03-15,CLOSED
PO-9025,V10041,M-3012,8032,355.12,2023-08-11,2023-09-16,CLOSED
PO-9026,V10050,M-3018,8421,235.11,2023-10-31,2023-12-18,CLOSED
PO-9027,V10018,M-2001,280,1597.39,2023-08-26,2023-11-20,CLOSED
PO-9028,V10025,M-3016,3479,246.34,2023-07-01,2023-08-17,CLOSED
PO-9029,V10045,M-3020,5026,280.12,2023-09-22,2023-10-30,OPEN
PO-9030,V10028,M-3014,9596,380.29,2023-12-20,2024-03-03,CLOSED
PO-9031,V10011,M-3001,5320,114.69,2023-12-21,2024-02-04,CLOSED
PO-9032,V10031,M-3012,9568,267.81,2023-08-06,2023-10-29,CLOSED
PO-9033,V10018,M-3015,5523,129.44,2023-03-03,2023-04-10,CLOSED
PO-9034,V10049,M-3018,3533,99.81,2023-09-05,2023-10-24,CLOSED
PO-9035,V10019,M-2002,166,2123.96,2023-06-04,2023-06-19,CLOSED
PO-9036,V10034,M-3002,5286,350.22,2023-03-06,2023-05-21,OPEN
PO-9037,V10019,M-2005,290,2654.21,2023-06-24,2023-07-31,OPEN
PO-9038,V10008,M-3016,1570,203.35,2023-02-07,2023-05-05,OPEN
PO-9039,V10020,M-3019,1895,496.99,2023-03-02,2023-05-26,CLOSED
PO-9040,V10015,M-3020,9061,193.29,2023-08-15,2023-10-06,CLOSED
PO-9041,V10004,M-3020,2125,474.06,2023-04-17,2023-05-28,CLOSED
PO-9042,V10011,M-3006,3347,278.24,2023-03-22,2023-04-05,CLOSED
PO-9043,V10031,M-3020,5271,21.16,2023-05-28,2023-07-17,CLOSED
PO-9044,V10047,M-3008,4834,394.97,2023-11-17,2024-02-14,CLOSED
PO-9045,V10015,M-3018,2941,454.66,2023-03-14,2023-04-06,OPEN
PO-9046,V10039,M-3010,9825,460.99,2023-08-13,2023-09-11,CLOSED
PO-9047,V10018,M-3013,8699,272.29,2023-08-13,2023-09-06,OPEN
PO-9048,V10039,M-2003,178,616.39,2023-04-28,2023-07-24,OPEN
PO-9049,V10037,M-2003,70,3933.99,2023-03-31,2023-06-13,CLOSED
PO-9050,V10038,M-2002,273,3356.53,2023-09-09,2023-10-04,CLOSED
PO-9051,V10021,M-3011,2213,429.58,2023-06-18,2023-08-23,CLOSED
PO-9052,V10049,M-3013,9512,23.17,2023-02-15,2023-04-10,CLOSED
PO-9053,V10033,M-3013,518,330.54,2023-10-05,2023-12-17,CLOSED
PO-9054,V10024,M-3017,8667,314.58,2023-01-27,2023-03-08,CLOSED
PO-9055,V10029,M-3010,8441,65.11,2023-11-19,2024-01-02,CLOSED
PO-9056,V10034,M-3001,7184,51.14,2023-02-28,2023-05-12,OPEN
PO-9057,V10032,M-3005,5281,256.89,2023-05-20,2023-07-26,CLOSED
PO-9058,V10030,M-2002,332,1150.89,2023-04-08,2023-07-07,CLOSED
PO-9059,V10050,M-2003,454,4344.86,2023-06-24,2023-09-10,CLOSED
PO-9060,V10047,M-3010,5391,419.55,2023-10-24,2024-01-08,CLOSED
PO-9061,V10026,M-3016,5946,278.2,2023-10-06,2023-12-07,CLOSED
PO-9062,V10045,M-2002,172,3073.09,2023-04-30,2023-07-05,OPEN
PO-9063,V10030,M-3016,6825,494.26,2023-11-30,2024-01-02,CLOSED
PO-9064,V10033,M-2002,352,1993.98,2023-02-21,2023-05-02,OPEN
PO-9065,V10003,M-3015,2861,207.94,2023-12-02,2024-01-04,OPEN
PO-9066,V10026,M-3009,7012,326.67,2023-06-18,2023-09-08,CLOSED
PO-9067,V10035,M-2004,68,3278.57,2023-05-01,2023-06-20,CLOSED
PO-9068,V10008,M-3014,2146,224.62,2023-12-22,2024-02-12,OPEN
PO-9069,V10017,M-3002,6373,190.55,2023-03-16,2023-04-30,CLOSED
PO-9070,V10010,M-3006,3368,44.09,2023-07-15,2023-08-28,CLOSED
PO-9071,V10015,M-2002,286,3370.57,2023-08-24,2023-10-09,OPEN
PO-9072,V10019,M-2004,396,2959.69,2023-02-07,2023-04-18,CLOSED
PO-9073,V10041,M-2003,267,3606.41,2023-08-22,2023-10-13,CLOSED
PO-9074,V10007,M-2004,171,2216.14,2023-07-03,2023-09-28,CLOSED
PO-9075,V10002,M-2003,474,3462.03,2023-05-21,2023-06-05,OPEN
PO-9076,V10019,M-2004,447,4094.87,2023-11-07,2024-01-05,CLOSED
PO-9077,V10017,M-3020,2740,315.98,2023-11-18,2023-12-07,CLOSED
PO-9078,V10039,M-3002,6477,367.52,2023-02-16,2023-04-08,CLOSED
PO-9079,V10011,M-3006,2665,394.32,2023-07-07,2023-09-26,CLOSED
PO-9080,V10047,M-3009,8394,483.86,2023-06-01,2023-07-28,OPEN
PO-9081,V10011,M-3003,4196,430.77,2023-12-12,2024-02-14,CLOSED
PO-9082,V10001,M-3013,4832,270.6,2023-08-21,2023-10-21,CLOSED
PO-9083,V10007,M-3012,4330,238.38,2023-11-14,2024-02-07,CLOSED
PO-9084,V10042,M-2002,82,3359.32,2023-08-26,2023-10-17,CLOSED
PO-9085,V10004,M-3002,5486,497.98,2023-03-01,2023-03-27,CLOSED
PO-9086,V10025,M-2002,282,2169.55,2023-12-23,2024-03-15,CLOSED
PO-9087,V10027,M-3005,2122,417.68,2023-11-12,2024-01-17,CLOSED
PO-9088,V10014,M-3012,7764,225.12,2023-05-01,2023-06-30,OPEN
PO-9089,V10035,M-2003,380,2114.03,2023-07-23,2023-09-10,CLOSED
PO-9090,V10006,M-2004,389,1454.48,2023-11-24,2024-02-22,OPEN
PO-9091,V10016,M-3011,2563,394.55,2023-04-16,2023-05-08,CLOSED
PO-9092,V10026,M-3008,2917,395.38,2023-11-02,2023-11-16,CLOSED
PO-9093,V10009,M-2002,326,1627.94,2023-03-31,2023-04-28,OPEN
PO-9094,V10016,M-3012,5804,12.81,2023-05-16,2023-06-05,CLOSED
PO-9095,V10008,M-3017,1541,240.74,2023-07-05,2023-09-22,OPEN
PO-9096,V10035,M-3008,1210,364.99,2023-12-04,2024-02-22,CLOSED
PO-9097,V10004,M-3001,8347,424.41,2023-08-07,2023-09-03,CLOSED
PO-9098,V10007,M-3015,1823,164.45,2023-03-17,2023-04-08,CLOSED
PO-9099,V10036,M-3019,5827,193.55,2023-11-02,2024-01-22,CLOSED
PO-9100,V10028,M-3020,2124,397.58,2023-02-28,2023-05-23,CLOSED
PO-9101,V10027,M-3008,6053,414.57,2023-07-24,2023-09-29,OPEN
PO-9102,V10043,M-3011,4676,190.28,2023-03-20,2023-06-02,OPEN
PO-9103,V10006,M-3003,7575,52.8,2023-07-10,2023-08-09,OPEN
PO-9104,V10036,M-3018,5900,336.66,2023-07-30,2023-09-27,CLOSED
PO-9105,V10019,M-2001,357,1906.02,2023-02-23,2023-05-21,CLOSED
PO-9106,V10016,M-3016,2273,178.31,2023-10-12,2023-12-12,OPEN
PO-9107,V10015,M-3019,7530,423.35,2023-11-15,2024-02-08,OPEN
PO-9108,V10003,M-3009,3455,140.27,2023-06-08,2023-08-04,CLOSED
PO-9109,V10037,M-3005,7066,39.44,2023-11-21,2023-12-08,OPEN
PO-9110,V10025,M-3007,7378,229.55,2023-03-22,2023-05-22,CLOSED
PO-9111,V10039,M-3019,1891,442.25,2023-03-21,2023-04-24,OPEN
PO-9112,V10030,M-3009,7447,245.4,2023-08-15,2023-10-21,CLOSED
PO-9113,V10008,M-3017,6155,217.81,2023-05-26,2023-08-23,CLOSED
PO-9114,V10003,M-3010,4112,200.66,2023-11-03,2023-11-24,OPEN
