BOM_ID,PARENT_MATERIAL_ID,CHILD_MATERIAL_ID,QUANTITY_PER_UNIT
BOM-0001,M-1000,M-2001,1
BOM-0002,M-1000,M-2002,3
BOM-0003,M-1000,M-2003,3
BOM-0004,M-1000,M-2004,1
BOM-0005,M-1000,M-2005,3
BOM-0006,M-2001,M-3001,5.32
BOM-0007,M-2001,M-3002,6.84
BOM-0008,M-2001,M-3003,3.6
BOM-0009,M-2001,M-3004,7.12
BOM-0010,M-2001,M-3006,5.77
BOM-0011,M-2001,M-3008,2.32
BOM-0012,M-2001,M-3010,6.82
BOM-0013,M-2001,M-3012,4.1
BOM-0014,M-2001,M-3013,7.61
BOM-0015,M-2002,M-3014,2.15
BOM-0016,M-2002,M-3015,5.91
BOM-0017,M-2002,M-3016,4.36
BOM-0018,M-2003,M-3017,8.42
BOM-0019,M-2003,M-3018,3.39
BOM-0020,M-2004,M-3011,2.5
BOM-0021,M-2005,M-3009,7.96
BOM-0022,M-2005,M-3019,6.26
BOM-0023,M-2005,M-3020,3.56
